train,valid
2122.6209,674.6971
2103.1818,665.0785
2088.2814,658.1880
2076.3701,650.4243
2063.7616,645.9467
2052.3064,640.5673
2041.0569,635.7475
2030.4308,629.5251
2018.9562,623.4162
2008.1313,618.1605
1996.5120,611.5680
1985.2776,605.8452
1973.9904,600.1985
1962.2606,594.8012
1950.8520,590.2133
1939.2649,584.3479
1927.8726,579.9882
1916.4671,574.2421
1904.8473,569.6641
1893.1242,564.0585
1881.7211,560.3934
1869.6482,556.0967
1858.1520,550.9390
1848.2454,548.3908
1836.1882,544.7440
1825.1715,539.5043
1815.1850,537.4286
1804.9548,533.9518
1796.0626,530.0948
1786.4069,529.7331
1777.9445,525.5669
1768.1049,524.6525
1759.7883,521.2480
1751.4145,525.7910
1745.0183,522.7273
1736.4971,522.3331
1735.0498,522.8584
1733.9767,522.8340
1733.8394,522.8513
1733.7397,522.8599
1733.7348,522.8713
1733.7277,522.8725
1733.7273,522.8712
1733.7269,522.8715
1733.7268,522.8714
1733.7267,522.8715
1733.7267,522.8715
1733.7266,522.8719
1733.7267,522.8719
1733.7266,522.8719
